"","var_id","code","description","name"
"102","EA010",12,"Ambilocal, with a marked preponderance of virilocal practice (i.e., virilocal option exceeds uxorilocal option in actual frequency by a ratio greater than two to one).","Ambi-viri"
"103","EA201",NA,"Missing data","Missing data"
"104","EA201",1,"Pattern of marital residence differs in the first years of marriage relative to later years.","Different"
"105","EA201",2,"Pattern of marital residence in the first years of marriage not different from later years.","Same"
"106","EA011",NA,"Missing data","Missing data"
"107","EA011",1,"Wife to husband's group (patrilocal, virilocal) or wife to husband's mother's brother's household (avunculocal)","Wife to husband"
"108","EA011",2,"Couple to either group or neolocal","Ambi/neo-local"
"109","EA011",3,"Husband to wifeﾒs group","Husband to wife"
"110","EA011",9,"Nonestablishment of a common household, i.e., where both spouses remain in their natal households, sometimes called ""duolocal"" or ""natolocal"" residence","Separate"
"111","EA012",NA,"Missing data","Missing data"
"112","EA012",1,"Avunculocal, i.e., normal residence with or near the maternal uncle or other male matrilineal kinsmen of the husband","Avunculocal"
"113","EA012",2,"Ambilocal, i.e., residence established optionally with or near the parents of either the husband or the wife, depending upon circumstances or personal choice, where neither alternative exceeds the other in actual frequency by a ratio greater than two to one.","Ambilocal"
"114","EA012",3,"Optionally uxorilocal or avunculocal. This may be the case in a uxorilocal society where many men marry a MoBrDa and thus, in fact, live avunculocally","Avuncu-uxorilocal"
"115","EA012",4,"Optionally patrilocal (or virilocal) or avunculocal","Avuncu-virilocal"
"116","EA012",5,"Matrilocal, i.e., normal residence with or near the female matrilineal kinsmen of the wife. Cf. U Uxorilocal","Matrilocal"
"117","EA012",6,"Neolocal, i.e., normal residence apart from the relatives of both spouses or at a place not determined by the kin ties of either","Neolocal"
"118","EA012",7,"Nonestablishment of a common household, i.e., where both spouses remain in their natal households, sometimes called ""duolocal"" or ""natolocal"" residence","Separate"
"119","EA012",8,"Patrilocal, i.e., normal residence with or near the male patrilineal kinsmen of the husband. Cf. V Virilocal","Patrilocal"
"120","EA012",9,"Uxorilocal. Equivalent to ""matrilocal"" but confined to instances where the wife's matrikin are not aggregated in matrilocal and matrilineal kin groups","Uxorilocal"
"121","EA012",10,"Virilocal. Equivalent to ""patrilocal"" but confined to instances where the husband's patrikin are not aggregated in patrilocal and patrilineal kin groups","Virilocal"
"122","EA012",11,"Ambilocal, with a marked preponderance of uxorilocal practice (i.e., uxorilocal option exceeds virilocal option in actual frequency by a ratio greater than two to one).","Ambi-uxo"
"123","EA012",12,"Ambilocal, with a marked preponderance of virilocal practice (i.e., virilocal option exceeds uxorilocal option in actual frequency by a ratio greater than two to one).","Ambi-viri"
"124","EA013",NA,"Missing data","Missing data"
"125","EA013",1,"Wife to husband's group (patrilocal, virilocal) or wife to husband's mother's brother's household (avunculocal)","Wife to husband"
"126","EA013",2,"Couple to either group or neolocal","Ambi/neo-local"
"127","EA013",3,"Husband to wifeﾒs group","Husband to wife"
"128","EA013",4,"No common residence","Separate"
"129","EA013",9,"No alternate form","No alternate"
"130","EA014",NA,"Missing data","Missing data"
"131","EA014",1,"Avunculocal, i.e., normal residence with or near the maternal uncle or other male matrilineal kinsmen of the husband","Avunculocal"
"132","EA014",2,"Ambilocal, i.e., residence established optionally with or near the parents of either the husband or the wife, depending upon circumstances or personal choice, where neither alternative exceeds the other in actual frequency by a ratio greater than two to one.","Ambilocal"
"133","EA014",3,"Optionally uxorilocal or avunculocal. This may be the case in a uxorilocal society where many men marry a MoBrDa and thus, in fact, live avunculocally","Avuncu-uxorilocal"
"134","EA014",4,"Optionally patrilocal (or virilocal) or avunculocal","Avuncu-virilocal"
"135","EA014",5,"Matrilocal, i.e., normal residence with or near the female matrilineal kinsmen of the wife. Cf. U Uxorilocal","Matrilocal"
"136","EA014",6,"Neolocal, i.e., normal residence apart from the relatives of both spouses or at a place not determined by the kin ties of either","Neolocal"
"137","EA014",7,"Nonestablishment of a common household, i.e., where both spouses remain in their natal households, sometimes called ""duolocal"" or ""natolocal"" residence","Separate"
"138","EA014",8,"Patrilocal, i.e., normal residence with or near the male patrilineal kinsmen of the husband. Cf. V Virilocal","Patrilocal"
"139","EA014",9,"Uxorilocal. Equivalent to ""matrilocal"" but confined to instances where the wife's matrikin are not aggregated in matrilocal and matrilineal kin groups","Uxorilocal"
"140","EA014",10,"Virilocal. Equivalent to ""patrilocal"" but confined to instances where the husband's patrikin are not aggregated in patrilocal and patrilineal kin groups","Virilocal"
"141","EA014",11,"No alternate form","No alternate"
"142","EA015",NA,"Missing data","Missing data"
"143","EA015",1,"Demes, i.e., communities revealing a marked tendency toward local endogamy but not segmented into clan-barrios","Demes"
"144","EA015",2,"Segmented communities, i.e., those divided into barrios, wards, or hamlets, each of which is essentially a localized kin group, a clan or ramage, in the absence of any indication of local exogamy. Large extended families (see ""Domestic organization""), are treated as clan-barrios if they are integrated by a rule of ambilineal, matrilineal, or patrilineal descent.","Segmented, no exogamy"
"145","EA015",3,"Agamous communities without localized clans or any marked tendency toward either local exogamy or local endogamy","Agamous"
"146","EA015",4,"Exogamous communities, i.e., those revealing a marked tendency toward local exogamy without having the specific structure of clans","Exogamous"
"147","EA015",5,"Segmented communities where a marked tendency toward local exogamy is also specifically reported","Segmented, exogamy"
"148","EA015",6,"Clan-communities, each consisting essentially of a single localized exogamous kin group or clan (see ""Organization of clan communities"" for more detail)","Clans"
"149","EA016",NA,"Missing data","Missing data"
"150","EA016",1,"Clan communities not segmented into clan barrios","Clans"
"151","EA016",2,"Clan communities segmented into clan barrios","Clans with barrios"
"152","EA016",9,"Communities not organized as exogamous clan communities","No exogamous clans"
"153","EA017",NA,"Missing data","Missing data"
"154","EA017",1,"None","None"
"155","EA017",2,"Absence of true patrilineal kin groups, but presence of patrilineal exogamy","Exogamy only"
"156","EA017",3,"Lineages of modest size, i.e., patrilineal kin groups whose core membership is normally confined to a single community or a part thereof","Lineages"
"157","EA017",4,"Sibs (""clans"" in British usage), i.e., lineages whose core membership normally comprises residents of more than one community","Sibs"
"158","EA017",5,"Phratries, i.e., maximal lineages when there are more than two in the society and when sibs are also present. Segmentary lineage systems in which segments of a lower order of magnitude are equivalent to sibs are also included in this category.","Phratries"
"159","EA017",6,"Moieties, i.e., maximal lineages when there are only two such in the society","Moieties"
"160","EA018",NA,"Missing data","Missing data"
"161","EA018",1,"No patrilineal exogamy","No exogamy"
"162","EA018",2,"Extension of incest taboos to known patrilineal kinsmen, provided such extension does not apply generally to bilateral kinsmen of equal remoteness","Extended taboo"
"163","EA018",3,"Lineages of modest size, i.e., patrilineal kin groups whose core membership is normally confined to a single community or a part thereof","Lineages"
"164","EA018",4,"Sibs (""clans"" in British usage), i.e., lineages whose core membership normally comprises residents of more than one community","Sibs"
"165","EA018",5,"Phratries, i.e., maximal lineages when there are more than two in the society and when sibs are also present. Segmentary lineage systems in which segments of a lower order of magnitude are equivalent to sibs are also included in this category.","Phratries"
"166","EA018",6,"Moieties, i.e., maximal lineages when there are only two such in the society","Moieties"
"167","EA019",NA,"Missing data","Missing data"
"168","EA019",1,"None","None"
"169","EA019",2,"Absence of true matrilineal kin groups, but presence of matrilineal exogamy","Exogamy only"
"170","EA019",3,"Lineages of modest size, i.e., matrilineal kin groups whose core membership is normally confined to a single community or a part thereof","Lineages"
"171","EA019",4,"Sibs (""clans"" in British usage), i.e., lineages whose core membership normally comprises residents of more than one community","Sibs"
"172","EA019",5,"Phratries, i.e., maximal lineages when there are more than two in the society and when sibs are also present. Segmentary lineage systems in which segments of a lower order of magnitude are equivalent to sibs are also included in this category.","Phratries"
"173","EA019",6,"Moieties, i.e., maximal lineages when there are only two such in the society","Moieties"
"174","EA020",NA,"Missing data","Missing data"
"175","EA020",1,"No matrilineal exogamy","No exogamy"
"176","EA020",2,"Extension of incest taboos to known matrilineal kinsmen, provided extension does not apply generally to bilateral kinsmen of equal remoteness.","Extended taboo"
"177","EA020",3,"Lineages of modest size, i.e., matrilineal kin groups whose core membership is normally confined to a single community or a part thereof","Lineages"
"178","EA020",4,"Sibs (""clans"" in British usage), i.e., lineages whose core membership normally comprises residents of more than one community","Sibs"
"179","EA020",5,"Phratries, i.e., maximal lineages when there are more than two in the society and when sibs are also present. Segmentary lineage systems in which segments of a lower order of magnitude are equivalent to sibs are also included in this category.","Phratries"
"180","EA020",6,"Moieties, i.e., maximal lineages when there are only two such in the society","Moieties"
"181","EA021",NA,"Missing data","Missing data"
"182","EA021",1,"Bilateral descent as inferred from the absence of reported ambilineal, matrilineal, or patrilineal kin groups, kindreds being absent or unreported","Bilateral inferred"
"183","EA021",2,"Kindreds: bilateral descent with specifically reported kindreds, i.e., Ego-oriented bilateral kin groups or categories","Bilateral kindreds"
"184","EA021",3,"Ambilineal descent inferred from the presence of ambilocal extended families, true ramages being absent or unreported","Ambilineal"
"185","EA021",4,"Ramages, i.e., ancestor-oriented ambilineal kin groups, if they are agamous, endogamous, or not specifically stated to be exogamous","Ramages"
"186","EA021",5,"Exogamous ramages specifically reported","Exogamous ramages"
"187","EA021",6,"Bilateral descent with reported or probable quasi-lineages, i.e., cognatic groups approximating the structure of lineages but based on filiation rather than on unilineal or ambilineal descent","Quasi-lineages"
"188","EA021",9,"Absence of cognatic kin groups as inferred from the presence of unilineal descent","No cognatic kin"
"189","EA022",NA,"Missing data","Missing data"
"190","EA022",2,"Kindreds: bilateral descent with specifically reported kindreds, i.e., Ego-oriented bilateral kin groups or categories","Kindreds"
"191","EA022",4,"Ramages, i.e., ancestor-oriented ambilineal kin groups, if they are agamous, endogamous, or not specifically stated to be exogamous","Ramages"
"192","EA022",9,"No secondary cognatic groups","No secondary groups"
"193","EA023",NA,"Missing data","Missing data"
"194","EA023",1,"Duolateral cross-cousin marriage permitted, i.e., marriage allowed with either MoBrDa or FaSiDa but forbidden with a parallel cousin","Cross-cousin"
"195","EA023",2,"Duolateral marriage permitted with paternal cousins only (FaBrDa or FaSiDa)","Paternal only"
"196","EA023",3,"Duolateral marriage permitted with maternal cousins only (MoBrDa or MoSiDa)","Maternal only"
"197","EA023",4,"Duolateral marriage permitted with an uncle's daughter only (FaBrDa or MoBrDa)","FaBrDa/MoBrDa only"
"198","EA023",5,"Duolateral marriage permitted with an aunt's daughter only (FaSiDa or MoSiDa)","FaSiDa/MoSiDa only"
"199","EA023",6,"Unilateral: only matrilateral cross-cousin marriage permitted, i.e., with a MoBrDa","Matrilateral cross only"
"200","EA023",7,"Nonlateral marriage, i.e., unions forbidden with any first or second cousin","No first/second cousins"
"201","EA023",8,"Nonlateral marriage, evidence available only for first cousins","No first cousins"
"202","EA023",9,"Unilateral: only patrilateral cross-cousin marriage permitted i.e., with a FaSiDa","Patrilateral cross only"
"203","EA023",10,"Quadrilateral marriage, i.e., marriage allowed with any first cousin","Any first cousins"
"204","EA023",11,"Nonlateral marriage in which all first cousins and some but not all second cousins are forbidden as spouses","Some second only"
"205","EA023",12,"Nonlateral marriage in which unions are forbidden with any first cousin but are permitted with any second cousin (or at least any who is not a lineage mate)","Only second cousins"
"206","EA023",13,"Trilateral marriage, i.e., marriage allowed with any first cousin except an orthocousin or lineage mate","Trilateral"
"207","EA024",NA,"Missing data","Missing data"
"208","EA024",1,"Quadrilateral marriage, i.e., marriage allowed with any first cousin","Quadrilateral"
"209","EA024",2,"Trilateral marriage, i.e., marriage allowed with any first cousin except an orthocousin or lineage mate","Trilateral"
"210","EA024",3,"Two of four first cousins marriageable","Duolateral"
"211","EA024",4,"One of four first cousins marriageable","Unilateral"
"212","EA024",5,"Nonlateral marriage in which unions are forbidden with any first cousin but are permitted with any second cousin (or at least any who is not a lineage mate)","Only second cousins"
"213","EA024",6,"Nonlateral marriage in which all first cousins and some but not all second cousins are forbidden as spouses","Some second only"
"214","EA024",7,"Nonlateral marriage when evidence is available only for first cousins","No first cousins"
"215","EA024",8,"Nonlateral marriage, i.e., unions forbidden with any first or second cousin","No first/second cousins"
"216","EA025",NA,"Missing data","Missing data"
"217","EA025",1,"Duolateral, symmetrical preference for MoBrDa or FaSiDa","Cross-cousin: either"
"218","EA025",2,"Duolateral, matrilateral preference (MoBrDa)","Cross-cousin: matri"
"219","EA025",3,"Duolateral, patrilateral preference (FaSiDa)","Cross-cousin: patri"
"220","EA025",4,"Duolateral, with maternal cousins only and MoBrDa preferred","Maternal: MoBrDa"
"221","EA025",5,"Unilateral: matrilateral cross-cousin marriage to MoBrDa preferred rather than merely permitted","Uni: MoBrDa"
"222","EA025",6,"Unilateral: patrilateral cross-cousin marriage to FaSiDa preferred rather than merely permitted","Uni: FaSiDa"
"223","EA025",7,"Quadrilateral, where FaBrDa is the preferred mate","All: FaBrDa"
"224","EA025",8,"Quadrilateral, symmetrical preference (FaSiDa or MoBrDa)","All: cross"
"225","EA025",9,"Quadrilateral, matrilateral preference (MoSi__ or MoBr__)","All: matri"
"226","EA025",10,"Nonlateral, with preference for particular second cross-cousins only, notably MoMoBrDaDa or FaMoBrSoDa, often reported of societies with subsection systems","Some second only"
"227","EA025",11,"Nonlateral, with second-cousin marriage preferred rather than merely permitted","Second cousins preferred"
"228","EA025",12,"Trilateral marriage, with preference for a bilateral cross-cousin (MoBrDa = FaSiDa).","Tri: bilateral"
"229","EA025",13,"Trilateral marriage, with preference for a matrilateral cross-cousin (MoBrDa)","Tri: matrilateral"
"230","EA025",14,"Trilateral marriage, with preference for a patrilateral cross-cousin (FaSiDa)","Tri: patrilateral"
"231","EA025",15,"No preferred cousin marriages","None preferred"
"232","EA026",NA,"Missing data","Missing data"
"233","EA026",1,"A symmetrical cross-cousin is preferred spouse","Cross-cousin"
"234","EA026",2,"MoBrDa is preferred spouse","MoBrDa"
"235","EA026",3,"FaSiDa is preferred spouse","FaSiDa"
"236","EA026",4,"FaBrDa is preferred spouse","FaBrDa"
"237","EA026",5,"A second-cousin is preferred spouse","Second cousin"
"238","EA026",9,"No preferred cousin marriage","None preferred"
"239","EA027",NA,"Missing data","Missing data"
"240","EA027",1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)","Crow"
"241","EA027",2,"Descriptive or derivative, rather than elementary, terms employed for all cousins","Descriptive"
"242","EA027",3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings","Eskimo"
"243","EA027",4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings","Hawaiian"
"244","EA027",5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins","Iroquois"
"245","EA027",6,"Omaha, i.e., MoBrCh equated with MoBr or Mo and/or FaSiCh with SiCh(ms) or Ch","Omaha"
"246","EA027",7,"Sudanese, i.e., FaSiCh and MoBrCh distinguished alike from siblings, parallel cousins, and each other but without conforming to either the Crow, the descriptive, or the Omaha patterns","Sudanese"
"247","EA027",8,"Mixed or variant patterns not adequately represented by any of the foregoing symbols. The details are given under ""Classification by Clusters.""","Mixed"
"248","EA028",NA,"Missing data","Missing data"
"249","EA028",1,"Complete absence of agriculture","No agriculture"
"250","EA028",2,"Casual agriculture, i.e., the slight or sporadic cultivation of food or other plants incidental to a primary dependence upon other subsistence practices","Casual"
"251","EA028",3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period","Extensive/shifting"
"252","EA028",4,"Horticulture, i.e., semi-intensive agriculture limited mainly to vegetable gardens or groves of fruit trees rather than the cultivation of field crops","Horticulture"
"253","EA028",5,"Intensive agriculture on permanent fields, utilizing fertilization by compost or animal manure, crop rotation, or other techniques so that fallowing is either unnecessary or is confined to relatively short periods","Intensive"
"254","EA028",6,"Intensive cultivation where it is largely dependent upon irrigation","Intensive irrigated"
"255","EA029",NA,"Missing data","Missing data"
"256","EA029",1,"No agriculture","No agriculture"
"257","EA029",2,"Non-food crops only, e.g., cotton or tobacco","Non-food"
"258","EA029",3,"Vegetables, e.g., cucurbits, greens, or legumes, when more important than other crops","Vegetables"
"259","EA029",4,"Tree fruits, e.g., bananas, breadfruit, coconuts, or dates, when more important than cereal grains and root crops. Sago, unless specifically reported to be cultivated, is treated as a gathered product rather than a cultivated one","Tree-fruits"
"260","EA029",5,"Roots or tubers, e.g., manioc, potatoes, taro, or yams, when more important than cereal grains and at least as important as tree crops or vegetables","Roots/tubers"
"261","EA029",6,"Cereal grains, e.g., maize, millet, rice, or wheat, when at least as important as any other type of crop","Cereals"
"262","EA030",NA,"Missing data","Missing data"
"263","EA030",1,"Fully migratory or nomadic bands","Nomadic"
"264","EA030",2,"Seminomadic communities whose members wander in bands for at least half of the year but occupy a fixed settlement at some season or seasons, e.g., recurrently occupied winter quarters","Seminomadic"
"265","EA030",3,"Semisedentary communities whose members shift from one to another fixed settlement at different seasons or who occupy more or less permanently a single settlement from which a substantial proportion of the population departs seasonally to occupy shifting camps, e.g., during transhumance","Semisedentary"
"266","EA030",4,"Compact but impermanent settlements, i.e., villages whose location is shifted every few years","Impermanent"
"267","EA030",5,"Neighborhoods of dispersed family homesteads","Dispersed homesteads"
"268","EA030",6,"Separated hamlets where several such form a more or less permanent single community","Hamlets"
"269","EA030",7,"Compact and relatively permanent settlements, i.e., nucleated villages or towns","Villages/towns"
"270","EA030",8,"Complex settlements consisting of a nucleated village or town with outlying homesteads or satellite hamlets. Urban aggregations of population are not separately indicated since EA031 deals with community size","Complex permanent"
"271","EA031",NA,"Missing data","Missing data"
"272","EA031",1,"Fewer than 50 persons","<50"
"273","EA031",2,"From 50 to 99 persons","50-99"
"274","EA031",3,"From 100 to 199 persons","100-199"
"275","EA031",4,"From 200 to 399 persons","200-399"
"276","EA031",5,"From 400 to 1,000 persons","400-1000"
"277","EA031",6,"More than 1,000 persons in the absence of indigenous urban aggregations","1000+ no towns"
"278","EA031",7,"One or more indigenous towns of more than 5,000 inhabitants but none of more than 50,000","5000-50000"
"279","EA031",8,"One or more indigenous cities with more than 50,000 inhabitants","50000+"
"280","EA032",NA,"Missing data","Missing data"
"281","EA032",2,"Independent families (may be nuclear or polygynous)","Independent families"
"282","EA032",3,"Extended families","Extended families"
"283","EA032",4,"Clan-barrios","Clan-barrios"
"284","EA033",NA,"Missing data","Missing data"
"285","EA033",1,"No political authority beyond community (e.g., autonomous bands and villages)","Acephalous"
"286","EA033",2,"One level (e.g., petty chiefdoms)","One level"
"287","EA033",3,"Two levels (e.g., larger chiefdoms)","Two levels"
"288","EA033",4,"Three levels (e.g., states)","Three levels"
"289","EA033",5,"Four levels (e.g., large states)","Four levels"
"290","EA034",NA,"Missing data","Missing data"
"291","EA034",1,"A high god absent or not reported in substantial descriptions of religious beliefs","Absent"
"292","EA034",2,"A high god present but otiose or not concerned with human affairs","Otiose"
"293","EA034",3,"A high god present and active in human affairs but not offering positive support to human morality","Active, but not supporting morality"
"294","EA034",4,"A high god present, active, and specifically supportive of human morality","Active, supporting morality"
"295","EA035",NA,"Missing data","Missing data"
"296","EA035",1,"No games of any of the three types","No games"
"297","EA035",2,"Games of physical skill only, whether or not they may also involve incidental elements of chance or strategy, e.g., foot racing, wrestling, the hoop-and-pole game","Physical skill only"
"298","EA035",3,"Games of chance only, with no significant element of either physical skill or strategy involved, e.g., dice games","Chance only"
"299","EA035",4,"Games of physical skill and of chance both present","Physical skill and chance"
"300","EA035",5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant","Strategy only"
